,제목,값
0,데이터,14756
1,실무,11062
2,분석,9565
3,러닝,9486
4,디자인,8783
5,일러스트,8120
6,활용,7687
30,Spring,7129
7,편집,6326
8,프론트엔드,6229
31,Java,6099
9,영상,5486
10,캐릭터,5342
11,구축,5253
12,파이썬,4942
13,엔드,4514
14,서비스,4494
15,네오,4352
16,금융,4273
17,마케팅,4190
18,처리,4043
19,컴퓨터,3996
20,구현,3604
21,인공지능,3508
22,엑셀,3500
23,스킬,3462
32,React,3443
24,부동산,3376
25,머신,3270
26,코딩,3126
27,제작,3124
28,투자,3067
33,Z,3025
29,개발자,3001
34,UX,2798
35,Kotlin,2798
36,MSA,2699
37,zip,2691
38,UI,2665
39,DevOps,2348
40,Kit,2268
41,Android,2155
42,Kubernetes,2126
43,AWS,2117
44,PPT,2002
45,iOS,1976
46,Docker,1765
47,js,1702
48,GA,1661
49,CLASS,1653
