,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
코스(상품) 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초격차 패키지 : 한 번에 끝내는 AWS 기반 아키텍처 설계와 DevOps,10,13,4,7,21,12,14,10,10,9,21,8,11,5,2,4,6,6,11,7,10,4,10,7,19,2,12,5,18,17,25
초격차 패키지 : React Native를 활용한 빠르고 완성도 높은 앱 개발  with 21개 프로젝트,8,13,3,1,27,14,9,14,16,5,23,21,15,3,1,5,1,10,6,6,13,4,3,1,6,4,3,4,2,6,10
초격차 패키지 : 백엔드 개발자를 위한 한 번에 끝내는 대용량 데이터 & 트래픽 처리,8,6,3,3,25,14,17,25,21,11,32,10,11,6,6,4,5,16,1,10,16,7,4,10,10,11,7,4,7,5,17
"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",6,6,3,3,5,6,9,6,9,5,15,7,8,2,3,3,7,6,8,12,8,3,4,2,10,5,1,5,40,3,7
 올인원 패키지 : 차근차근 따라하는 수익형 웹 사이트 만들기,6,11,6,6,8,9,9,10,8,10,23,10,7,4,2,5,3,11,8,6,6,4,1,3,6,3,3,4,7,5,9
초격차 패키지 : 한번에 끝내는 UX/UI 디자인,6,0,0,0,1,6,5,1,4,0,7,3,5,4,1,3,0,2,2,3,14,6,2,5,4,1,1,1,2,5,5
초격차 패키지 : 일잘러 필수 스킬 모음.zip,6,5,2,0,16,12,13,13,7,7,9,10,9,3,8,6,4,10,8,8,19,5,11,3,19,2,9,10,12,8,26
올인원 패키지 : 문서의 신이 알려주는 보고서의 법칙 : 비즈니스 글쓰기의 모든 것,6,1,2,0,7,3,4,5,10,2,8,4,4,1,3,1,0,3,4,3,10,5,4,3,3,2,6,6,22,6,3
"초격차 패키지 : 한번에 끝내는 공간, 건축디자인",5,6,3,2,3,3,6,8,5,6,10,8,1,2,5,5,4,6,5,0,7,3,3,4,9,5,4,7,3,11,15
초격차 패키지 : 한 번에 끝내는 디지털 마케팅 시그니처 플러스,5,2,0,2,8,6,1,6,7,6,17,6,7,8,10,4,6,14,6,9,15,8,5,2,6,2,4,6,9,16,12
초격차 패키지 : 33개 프로젝트로 완성하는 컴퓨터비전 딥러닝 심화 과정,5,0,1,0,7,5,4,2,10,3,6,5,4,3,2,2,2,3,2,2,4,1,1,2,3,1,2,5,5,3,4
초격차 패키지 : 한 번에 끝내는 컴퓨터 공학 전공필수 & 인공지능 심화,5,1,0,1,8,3,6,3,6,2,4,5,6,3,0,0,2,4,5,2,5,2,3,2,5,1,2,3,1,2,11
올인원 패키지 : 6개월 치 업무를 하루 만에 끝내는 업무자동화 2,5,5,0,4,16,5,7,8,14,6,14,5,5,2,1,2,2,6,3,4,4,4,4,4,3,0,2,2,5,2,3
초격차 패키지 : 10개 프로젝트로 완성하는 백엔드 웹개발(Java/Spring),5,8,6,6,32,24,22,18,28,13,40,16,21,3,6,9,9,11,12,13,25,11,8,12,18,7,11,13,7,5,22
올인원 패키지 : 성공적인 UX를 위한 유저 리서치 by 카카오페이 리서처,4,2,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
The RED : 백엔드 에센셜 : 대용량 서비스를 위한 아키텍처 with Redis by 강대명,4,0,1,0,0,0,0,1,2,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0
초격차 패키지 : 한 번에 끝내는 Financial Modeling 실무,4,2,0,1,4,5,3,2,2,3,6,0,3,4,5,3,2,12,4,6,10,1,1,2,3,3,1,3,2,7,6
초격차 패키지 : 프론트엔드 웹 개발의 모든 것 (시그니처),4,7,4,2,4,3,4,6,15,4,20,4,9,4,8,3,3,10,5,6,13,6,5,3,5,4,5,7,4,4,10
네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,4,1,1,4,7,5,4,3,3,2,3,3,3,3,2,3,3,7,5,1,4,1,0,1,4,2,2,3,40,11,3
초격차 패키지 : 한 번에 끝내는 Java/Spring 웹 개발 마스터,4,1,1,1,14,7,10,3,5,2,6,3,2,3,3,6,0,2,4,6,14,4,1,4,8,0,3,1,4,6,3
올인원 패키지 : 스프링의 정석 : 남궁성과 끝까지 간다,3,4,3,2,5,8,9,5,4,2,8,6,4,2,3,2,4,6,7,4,7,3,6,2,6,7,4,3,5,2,10
올인원 패키지 : 딥러닝/머신러닝을 활용한 시계열 데이터 분석,3,1,0,2,9,6,4,9,12,3,8,3,7,0,1,3,2,0,2,1,4,6,2,0,1,7,4,1,2,2,0
The RED : 모든 비즈니스를 성공으로 이끄는 Product Management Essential by 김영욱,3,3,0,0,0,4,2,0,0,0,1,1,0,2,1,0,0,0,0,0,2,1,2,0,0,0,0,2,1,1,1
초격차 패키지 : 파이썬으로 할 수 있는 모든 것 with 47개 프로젝트,3,10,3,3,11,13,9,19,12,11,17,9,15,6,7,13,7,13,7,10,15,3,8,5,15,5,6,13,6,8,16
초격차 패키지 : 한 번에 끝내는 블록체인 개발 A to Z,3,2,0,1,12,5,1,5,7,1,12,3,8,3,0,0,0,1,2,2,5,2,1,2,5,3,4,1,3,1,4
 초격차 패키지 : 한 번에 끝내는 서비스 기획의 모든 것,3,2,2,2,12,15,8,9,12,4,8,13,9,1,10,3,5,7,6,5,9,8,4,0,6,8,4,10,7,12,16
"CLASS : 유성민의 GA4, 12시간만에 끝장내기",3,1,1,0,3,1,1,3,4,1,3,4,1,2,0,2,2,0,4,4,0,2,0,0,1,4,3,5,7,3,2
