,카테고리,월,판매건수,상품 개수,총거래금액,강의 당 평균 월매출,강의당 평균 판매량
0,데이터 사이언스,1,2543,43,476626550,11084338,59
1,데이터 사이언스,2,1977,45,346211450,7693588,44
2,데이터 사이언스,3,1659,47,362084250,7703920,35
3,데이터 사이언스,4,1703,47,343958750,7318271,36
4,데이터 사이언스,5,1532,47,293656400,6248009,33
5,데이터 사이언스,6,1843,49,390494100,7969267,38
6,데이터 사이언스,7,2151,53,415007110,7830323,41
7,데이터 사이언스,8,1788,56,403355380,7202775,32
8,데이터 사이언스,9,1979,62,417221000,6729371,32
9,데이터 사이언스,10,2249,65,391620700,6024934,35
10,데이터 사이언스,11,2234,67,474030400,7075081,33
11,데이터 사이언스,12,2865,70,542514500,7750207,41
12,데이터 사이언스,2023. 5,0,90,0,0,0
13,디자인,1,1319,21,208172300,9912967,63
14,디자인,2,1031,21,158394200,7542581,49
15,디자인,3,711,22,117392800,5336036,32
16,디자인,4,602,21,106979500,5094262,29
17,디자인,5,550,22,87132900,3960586,25
18,디자인,6,807,25,138631700,5545268,32
19,디자인,7,976,26,145724420,5604785,38
20,디자인,8,788,27,135319600,5011837,29
21,디자인,9,552,26,95547600,3674908,21
22,디자인,10,615,27,96213050,3563446,23
23,디자인,11,585,28,107327500,3833125,21
24,디자인,12,779,28,126297300,4510618,28
25,디자인,2023. 5,0,45,0,0,0
26,마케팅,1,1216,19,179804800,9463411,64
27,마케팅,2,1058,21,159719550,7605693,50
28,마케팅,3,786,19,126615450,6663971,41
29,마케팅,4,818,21,131685300,6270729,39
30,마케팅,5,804,21,120933650,5758745,38
31,마케팅,6,911,19,153575300,8082911,48
32,마케팅,7,949,18,139610750,7756153,53
33,마케팅,8,1223,21,181033250,8620631,58
34,마케팅,9,910,22,152745500,6942977,41
35,마케팅,10,1043,24,158069050,6586210,43
36,마케팅,11,959,26,150519450,5789210,37
37,마케팅,12,1183,27,186237244,6897676,44
38,마케팅,2023. 5,0,34,0,0,0
39,부동산/금융,1,965,20,205742600,10287130,48
40,부동산/금융,2,900,21,190712300,9081538,43
41,부동산/금융,3,710,23,159249900,6923909,31
42,부동산/금융,4,647,23,168157900,7311213,28
43,부동산/금융,5,625,23,144791650,6295289,27
44,부동산/금융,6,841,25,214715100,8588604,34
45,부동산/금융,7,1167,27,262070550,9706317,43
46,부동산/금융,8,1030,25,246271400,9850856,41
47,부동산/금융,9,730,27,180106000,6670593,27
48,부동산/금융,10,782,28,176098900,6289246,28
49,부동산/금융,11,697,26,172447300,6632588,27
50,부동산/금융,12,918,28,237169700,8470346,33
51,부동산/금융,2023. 5,0,32,0,0,0
52,부업/창업,1,226,4,26565600,6641400,56
53,부업/창업,2,161,4,15971200,3992800,40
54,부업/창업,3,102,4,13927700,3481925,26
55,부업/창업,4,60,4,7751500,1937875,15
56,부업/창업,5,54,4,5013000,1253250,14
57,부업/창업,6,73,4,10839000,2709750,18
58,부업/창업,7,61,4,6428200,1607050,15
59,부업/창업,8,47,4,5547600,1386900,12
60,부업/창업,9,43,4,5211000,1302750,11
61,부업/창업,10,63,4,6077400,1519350,16
62,부업/창업,11,38,4,4916000,1229000,10
63,부업/창업,12,70,4,7039800,1759950,18
64,부업/창업,2023. 5,0,4,0,0,0
65,업무 생산성,1,1723,23,210127305,9135970,75
66,업무 생산성,2,1372,23,169606800,7374209,60
67,업무 생산성,3,907,24,124217400,5175725,38
68,업무 생산성,4,920,23,128337800,5579904,40
69,업무 생산성,5,912,23,117087550,5090763,40
70,업무 생산성,6,991,24,137318850,5721619,41
71,업무 생산성,7,1076,23,134554050,5850176,47
72,업무 생산성,8,843,25,113995350,4559814,34
73,업무 생산성,9,962,23,128968600,5607330,42
74,업무 생산성,10,963,25,115077050,4603082,39
75,업무 생산성,11,1002,24,123453850,5143910,42
76,업무 생산성,12,1278,25,165885300,6635412,51
77,업무 생산성,2023. 5,0,28,0,0,0
78,영상/3D,1,1846,36,307384500,8538458,51
79,영상/3D,2,1462,37,238333100,6441435,40
80,영상/3D,3,1176,38,207383400,5457458,31
81,영상/3D,4,882,38,154162000,4056895,23
82,영상/3D,5,849,41,133144650,3247430,21
83,영상/3D,6,1105,41,191270200,4665127,27
84,영상/3D,7,1546,43,254030750,5907692,36
85,영상/3D,8,940,43,178515200,4151516,22
86,영상/3D,9,763,46,131284000,2854000,17
87,영상/3D,10,857,47,150305100,3197981,18
88,영상/3D,11,578,49,119531500,2439418,12
89,영상/3D,12,844,49,151314100,3088043,17
90,영상/3D,2023. 5,0,58,0,0,0
91,일러스트,1,836,12,120660520,10055043,70
92,일러스트,2,892,15,118151410,7876761,59
93,일러스트,3,809,16,127825440,7989090,51
94,일러스트,4,802,20,122755360,6137768,40
95,일러스트,5,664,22,90737050,4124411,30
96,일러스트,6,751,25,115617770,4624711,30
97,일러스트,7,1071,26,143725815,5527916,41
98,일러스트,8,1942,29,357318490,12321327,67
99,일러스트,9,2007,31,411911100,13287455,65
100,일러스트,10,1689,33,269846470,8177166,51
101,일러스트,11,1217,33,231730400,7022133,37
102,일러스트,12,1447,35,260610440,7446013,41
103,일러스트,2023. 5,0,45,0,0,0
104,투자/재테크,1,529,11,123197800,11199800,48
105,투자/재테크,2,388,11,74445700,6767791,35
106,투자/재테크,3,248,11,55370800,5033709,23
107,투자/재테크,4,143,10,28518000,2851800,14
108,투자/재테크,5,114,11,21490500,1953682,10
109,투자/재테크,6,141,11,32460000,2950909,13
110,투자/재테크,7,157,11,28050100,2550009,14
111,투자/재테크,8,114,11,24580600,2234600,10
112,투자/재테크,9,108,11,25523500,2320318,10
113,투자/재테크,10,143,11,25973250,2361205,13
114,투자/재테크,11,105,11,22029500,2002682,10
115,투자/재테크,12,142,11,27227000,2475182,13
116,투자/재테크,2023. 5,0,14,0,0,0
117,프로그래밍,1,5231,57,814051750,14281610,92
118,프로그래밍,2,4232,56,609288500,10880152,76
119,프로그래밍,3,3163,58,522746000,9012862,55
,프로그래밍,4,2645,59,429342300,7276988,45
,프로그래밍,5,2707,61,421218400,6905220,44
,프로그래밍,6,3708,62,629883000,10159403,60
,프로그래밍,7,4502,66,669710358,10147127,68
,프로그래밍,8,3914,70,665215184,9503074,56
,프로그래밍,9,3957,72,688665368,9564797,55
,프로그래밍,10,4221,75,611460158,8152802,56
