코스(상품) 이름,빈도수
초격차 패키지 : 한 번에 끝내는 디지털 마케팅(제발 원본 자료 삭제금지),173
"올인원 패키지 : GA4 탑재, 구글 애널리틱스 끝장내기",112
The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,103
초격차 패키지 : 무조건 팔리는 SNS콘텐츠 끝장내기,63
"초격차 패키지 : 퍼포먼스 마케팅, 데이터로 완전 정복",56
올인원 패키지 : 30개 글감으로 에세이 작가되기 BY.정영욱,37
올인원 패키지 : 구글 애널리틱스,29
올인원 패키지 : 7일만에 끝내는 디지털 마케팅 광고집행 실무,28
올인원 패키지 : 브랜딩 2020,26
김동원의 저예산 마케팅을 위한 검색 광고 최적화 -SEO/SEM마스터,26
올인원 패키지 : 인스타를 성장시킨 50명의 성공방정식,25
초격차 패키지 : 한 번에 끝내는 마케팅 취업,22
전환율을 높이는 그로스마케팅 by.이하석,18
올인원 패키지 : 해외소싱으로 온라인 커머스 정복하기,15
올인원 패키지 : 7일만에 끝내는 마케팅 데이터 분석과 시각화 실무,14
올인원 패키지 : 소비자 리서치와 보고서 작성,12
The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,11
"올인원 패키지 : A/B 테스트 탑재, 개인화 마케팅 끝장내기",9
THE RED : 광고인 박웅현과 크리에이티브,7
