코스(상품) 이름,빈도수
초격차 패키지 : 한 번에 끝내는 디지털 마케팅(제발 원본 자료 삭제금지),1294
The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,1071
"초격차 패키지: GA4 탑재, 2023년 구글 애널리틱스 완전 정복",1000
초격차 패키지 : 한 번에 끝내는 디지털 마케팅 시그니처 플러스,954
초격차 패키지 : 무조건 팔리는 SNS콘텐츠 끝장내기,813
The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,764
"초격차 패키지 : 퍼포먼스 마케팅, 데이터로 완전 정복",616
The red : 나만의 세계가 담긴 동화 쓰기 BY. 황선미,606
초격차 패키지 : 9 in 1 직장인 글쓰기 필수 스킬 : 보고서부터 카피라이팅까지,572
"올인원 패키지 : GA4 탑재, 구글 애널리틱스 끝장내기",558
초격차 패키지: 15개의 프로젝트 사례로 완성하는 브랜딩,460
올인원 패키지 : 7일만에 끝내는 디지털 마케팅 광고집행 실무,448
올인원 패키지 : 30개 글감으로 에세이 작가되기 BY.정영욱,435
김동원의 저예산 마케팅을 위한 검색 광고 최적화 -SEO/SEM마스터,314
초격차 패키지 : 한 번에 끝내는 마케팅 취업,280
올인원 패키지 : 인스타를 성장시킨 50명의 성공방정식,277
전환율을 높이는 그로스마케팅 by.이하석,265
초격차 패키지: 한 번에 끝내는 동화책 제작,263
The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,240
"CLASS : 유성민의 GA4, 12시간만에 끝장내기",215
올인원 패키지 : 7일만에 끝내는 마케팅 데이터 분석과 시각화 실무,212
The RED : 서미애의 미스터리 장르 소설 창작법,177
The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,169
THE RED : 광고인 박웅현과 크리에이티브,158
올인원 패키지 : 브랜딩 2020,141
올인원 패키지 : 구글 애널리틱스,138
올인원 패키지 : 해외소싱으로 온라인 커머스 정복하기,100
"올인원 패키지 : A/B 테스트 탑재, 개인화 마케팅 끝장내기",92
올인원 패키지 : 소비자 리서치와 보고서 작성,62
올인원 패키지 : 스타트업 마케터로 살아남기 퍼포먼스 마케팅 Kit,47
지금 우리 일상을 공포로 물들이는 웹툰 스토리텔링 by. 주동근,41
올인원 패키지 : 검색 최적화(SEO) 운영/전략,41
CLASS : 폭발적 성과를 내는 콘텐츠 제작 바이블 by.김도현,38
CLASS : 프로덕트 고속 성장을 위한 디지털 마케팅 온보딩 클래스,32
올인원 패키지 : 디지털 마케팅 MAX 2020,1
커리어 가이드 : 마케터 편,1
올인원 패키지 : 그로스 마케팅,1
