,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액
102326,1840950,PAYMENT,10,205949,FASTCAMPUS,올인원,프로그래밍,초격차 패키지 : 30개 프로젝트로 배우는 iOS 앱 개발 with Swift,2022. 5. 8. 오후 11:05:51,-,192000,CARD,192000,-,192000,-
79959,1969997,PAYMENT,10,206185,FASTCAMPUS,올인원,데이터 사이언스,초격차 패키지 : 한 번에 끝내는 머신러닝과 데이터분석 A-Z,2022. 7. 8. 오후 3:07:02,-,247000,TRANS,247000,-,247000,-
86447,1935879,PAYMENT,10,205548,FASTCAMPUS,올인원,데이터 사이언스,초격차 패키지 : 한 번에 끝내는 데이터 분석,2022. 6. 26. 오후 2:06:43,[증정] 온라인강의 6월 판매가 50%할인권,176000,CARD,88000,88000,88000,-
30752,2231183,PAYMENT,10,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022. 10. 27. 오전 12:10:24,-,278000,CARD,278000,-,278000,-
152590,1574992,PAYMENT,10,203328,FASTCAMPUS,올인원,디자인,올인원 패키지 : 디자이너 몰래 듣는 압축 포토샵,2022. 1. 7. 오후 9:01:42,[프로모션] 12월 1+1 수강권 이벤트,122000,PROMOTION,0,155000,0,-
98500,1864937,PAYMENT,10,211160,FASTCAMPUS,올인원,프로그래밍,실무 프로젝트로 배우는 Kotlin & Spring : 리팩토링부터 서비스 구현까지,2022. 5. 23. 오후 1:05:09,[20% 할인쿠폰] 실무 프로젝트로 배우는 Kotlin & Spring: 리팩토링부터 서비스 구현까지,149000,CARD,119200,29800,119200,-
86801,1933897,PAYMENT,10,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022. 6. 25. 오전 10:06:22,-,194000,CARD,194000,-,194000,-
30663,2231826,PAYMENT,17,211600,FASTCAMPUS,올인원,마케팅,초격차 패키지: 15개의 프로젝트 사례로 완성하는 브랜딩,2022. 10. 27. 오전 11:10:36,-,167000,CARD,167000,-,167000,-
59271,2083240,PAYMENT,17,212587,FASTCAMPUS,올인원,프로그래밍,초격차 패키지 : 한 번에 끝내는 블록체인 개발 A to Z,2022. 8. 24. 오후 10:08:27,-,358000,CARD,358000,-,358000,-
122210,1727505,PAYMENT,17,208228,FASTCAMPUS,올인원,투자/재테크,업계 TOP 세무사와 부동산 세금 고민 끝장내기,2022. 3. 13. 오후 4:03:27,-,282000,CARD,282000,-,282000,-
16457,2313000,PAYMENT,17,211492,FASTCAMPUS,올인원,프로그래밍,초격차 패키지 : 프론트엔드 웹 개발의 모든 것 (시그니처),2022. 11. 30. 오후 11:11:17,[WELCOME] 온라인 강의 3만원 할인,211000,TRANS,181000,30000,181000,-
127930,1699256,PAYMENT,17,201435,FASTCAMPUS,올인원,프로그래밍, 올인원 패키지 : 알고리즘 기술면접 완전 정복,2022. 2. 28. 오후 2:02:50,[프로모션] 2월 1+1 수강권 이벤트,201000,TRANS,44000,157000,44000,-
9867,2341910,PAYMENT,17,204207,FASTCAMPUS,올인원,디자인,초격차 패키지 : 확실하게 끝내는 포토샵&일러스트레이터,2022. 12. 12. 오후 3:12:18,[증정] 온라인강의 결제 금액과 동일한 100% 페이백 쿠폰,184000,CARD,2000,182000,2000,-
148427,1594849,PAYMENT,358,209093,FASTCAMPUS,올인원,일러스트,올인원 패키지 : 배곡파 작가의 웹소설 남자 캐릭터 일러스트,2022. 1. 15. 오전 1:01:36,-,184000,CARD,184000,-,184000,-
74899,1997546,PAYMENT,358,207135,FASTCAMPUS,올인원,일러스트,초격차 패키지 : 세상의 모든 연필과 펜 드로잉,2022. 7. 19. 오후 11:07:20,[프로모션] 6월 1+1 이벤트,171000,CARD,14000,157000,14000,-
150031,1585623,PAYMENT,358,206185,FASTCAMPUS,올인원,데이터 사이언스,초격차 패키지 : 한 번에 끝내는 머신러닝과 데이터분석 A-Z,2022. 1. 11. 오후 2:01:33,-,241000,CARD,241000,-,241000,-
22277,2277174,PAYMENT,358,209720,FASTCAMPUS,올인원,부동산/금융,글로벌 탑티어 헤지펀드의 미국 기업 분석 및 투자 전략 with Stephen Clapham,2022. 11. 17. 오전 10:11:30,-,243000,CARD,243000,-,243000,-
106818,1817479,PAYMENT,358,208324,FASTCAMPUS,올인원,부동산/금융,올인원 패키지 : 권오상의 금융 아카데미 - M&A 사례로 배우는 재무제표 영향 (수강시간 제한),2022. 4. 28. 오전 9:04:15,-,316000,CARD,316000,-,316000,-
54662,2113602,PAYMENT,358,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022. 9. 3. 오전 11:09:56,-,274000,TRANS,274000,-,274000,-
