,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
39,2413764,PAYMENT,46405,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 23:12:07,-,168000,CARD,168000,-,168000,-,12,31
72,2413654,PAYMENT,88877,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 23:12:24,[WELCOME] 업무생산성 3만원할인,168000,POINT,138000,30000,138000,-,12,31
99,2413575,PAYMENT,81259,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 23:12:50,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
128,2413454,PAYMENT,84827,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 23:12:43,-,168000,CARD,168000,-,168000,-,12,31
143,2413417,PAYMENT,97723,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 23:12:38,[WELCOME] 업무생산성 3만원할인,168000,POINT,138000,30000,138000,-,12,31
144,2413415,PAYMENT,1548,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 23:12:42,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
208,2413225,PAYMENT,20966,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 22:12:16,-,168000,CARD,168000,-,168000,-,12,31
265,2413047,PAYMENT,27616,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 22:12:41,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
293,2412951,PAYMENT,3957,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 21:12:27,[15% 할인쿠폰] 일잘러 필수 스킬 모음.zip,168000,CARD,142800,25200,142800,-,12,31
306,2412879,PAYMENT,84171,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 21:12:33,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
332,2412768,PAYMENT,97324,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 21:12:48,-,168000,TRANS,168000,-,168000,-,12,31
360,2412669,PAYMENT,10052,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 21:12:37,-,168000,CARD,168000,-,168000,-,12,31
445,2412381,PAYMENT,14541,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 19:12:47,-,168000,CARD,168000,-,168000,-,12,31
483,2412252,PAYMENT,64494,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 19:12:59,[WELCOME] 업무생산성 3만원할인,168000,CARD,138000,30000,138000,-,12,31
496,2412208,PAYMENT,34119,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 19:12:53,-,168000,CARD,168000,-,168000,-,12,31
536,2412020,PAYMENT,89952,204373,FASTCAMPUS,올인원,업무 생산성,초격차 패키지 : 일잘러 필수 스킬 모음.zip,2022-12-31 18:12:26,-,168000,CARD,168000,-,168000,-,12,31
