,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
55091,60452,2077149,PAYMENT,11540,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-08-22 17:08:28,[WELCOME] 온라인 강의 3만원 할인,270000.0,CARD,240000,30000,240000,0,8,22
52900,58110,2091454,PAYMENT,5028,212599,FASTCAMPUS,올인원,일러스트,네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2022-08-28 02:08:37,[네오아카데미] 까나의 초보자를 위한 SD 미니 캐릭터 그리기 20% 할인 쿠폰,148000.0,POINT,118400,29600,118400,0,8,28
52897,58107,2091471,PAYMENT,17421,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-08-28 02:08:52,[네오아카데미] 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트 20% 할인 쿠폰,270000.0,VBANK,216000,54000,216000,0,8,28
52883,58093,2091510,PAYMENT,40625,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-08-28 03:08:52,-,270000.0,CARD,270000,0,270000,0,8,28
52882,58092,2091522,PAYMENT,50757,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 03:08:11,-,270000.0,CARD,270000,0,270000,0,8,28
52881,58091,2091523,PAYMENT,78692,212599,FASTCAMPUS,올인원,일러스트,네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2022-08-28 03:08:14,[네오아카데미] 까나의 초보자를 위한 SD 미니 캐릭터 그리기 20% 할인 쿠폰,148000.0,CARD,118400,29600,118400,0,8,28
52860,58070,2091663,PAYMENT,85366,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 09:08:22,-,500000.0,CARD,500000,0,500000,0,8,28
52859,58069,2091664,PAYMENT,94026,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 09:08:19,-,500000.0,CARD,500000,0,500000,0,8,28
52858,58068,2091665,PAYMENT,19726,212599,FASTCAMPUS,올인원,일러스트,네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2022-08-28 09:08:02,[WELCOME] 온라인 강의 2만원 할인,148000.0,CARD,128000,20000,128000,0,8,28
52904,58114,2091432,PAYMENT,6499,212599,FASTCAMPUS,올인원,일러스트,네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2022-08-28 01:08:49,[시크릿쿠폰] 10만 원 이상 결제 시 2만 원 할인,148000.0,CARD,128000,20000,128000,0,8,28
52856,58066,2091671,PAYMENT,59876,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-08-28 09:08:49,-,500000.0,CARD,500000,0,500000,0,8,28
52843,58053,2091708,PAYMENT,33999,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 10:08:56,[네오아카데미] 완케의 악마와 계약하는 초단기 일러스트 성장법 20% 할인 쿠폰,270000.0,TRANS,216000,54000,216000,0,8,28
52837,58047,2091741,PAYMENT,78849,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 12:08:44,-,500000.0,VBANK,500000,0,500000,0,8,28
52835,58045,2091745,PAYMENT,11531,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-08-28 10:08:34,-,500000.0,VBANK,500000,0,500000,0,8,28
52832,58042,2091754,PAYMENT,19424,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 12:08:34,[네오아카데미 수강생 대상] 완케 온라인 클래스 50% 할인 쿠폰,270000.0,VBANK,135000,135000,135000,0,8,28
52831,58041,2091756,PAYMENT,30576,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 10:08:28,[WELCOME] 온라인 강의 3만원 할인,270000.0,CARD,240000,30000,240000,0,8,28
52827,58037,2091776,PAYMENT,98982,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 11:08:19,[WELCOME] 온라인 강의 3만원 할인,270000.0,CARD,240000,30000,240000,0,8,28
52826,58036,2091780,PAYMENT,44445,212599,FASTCAMPUS,올인원,일러스트,네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2022-08-28 11:08:43,[WELCOME] 온라인 강의 2만원 할인,148000.0,CARD,128000,20000,128000,0,8,28
52807,58017,2091850,PAYMENT,91850,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 12:08:33,[WELCOME] 온라인 강의 3만원 할인,270000.0,CARD,240000,30000,240000,0,8,28
52845,58055,2091702,PAYMENT,50246,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 10:08:09,[WELCOME] 온라인 강의 3만원 할인,270000.0,POINT,240000,30000,240000,0,8,28
52803,58013,2091870,PAYMENT,7347,212599,FASTCAMPUS,올인원,일러스트,네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2022-08-28 12:08:35,[WELCOME] 온라인 강의 2만원 할인,148000.0,CARD,128000,20000,128000,0,8,28
52912,58122,2091368,PAYMENT,99185,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-08-28 00:08:48,[네오아카데미] 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트 20% 할인 쿠폰,270000.0,CARD,216000,54000,216000,0,8,28
52914,58124,2091357,PAYMENT,56195,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-28 00:08:23,[네오아카데미 카페 회원 대상] 패캠 X 네오 온라인 클래스 3만 원 할인 쿠폰,270000.0,CARD,240000,30000,240000,0,8,28
52993,58203,2090942,PAYMENT,58102,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-27 21:08:49,-,500000.0,CARD,500000,0,500000,0,8,27
52992,58202,2090943,PAYMENT,31224,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-08-27 21:08:34,[WELCOME] 온라인 강의 3만원 할인,270000.0,POINT,240000,30000,240000,0,8,27
52989,58199,2090966,PAYMENT,42611,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-08-27 21:08:31,[WELCOME] 온라인 강의 3만원 할인,270000.0,CARD,240000,30000,240000,0,8,27
52988,58198,2090973,PAYMENT,41295,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-27 21:08:13,[WELCOME] 온라인 강의 3만원 할인,270000.0,CARD,240000,30000,240000,0,8,27
52984,58194,2090989,PAYMENT,52278,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-27 21:08:10,[네오아카데미 수강생 대상] 완케 온라인 클래스 50% 할인 쿠폰,270000.0,CARD,135000,135000,135000,0,8,27
52983,58193,2090991,PAYMENT,22887,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-27 21:08:39,[네오아카데미 수강생 대상] 완케 온라인 클래스 50% 할인 쿠폰,270000.0,CARD,135000,135000,135000,0,8,27
52981,58191,2090994,PAYMENT,6670,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-08-27 21:08:23,[네오아카데미 수강생 대상] 설 온라인 클래스 50% 할인 쿠폰,270000.0,CARD,135000,135000,135000,0,8,27
52956,58166,2091103,PAYMENT,99328,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-08-27 22:08:45,[네오아카데미] 완케의 악마와 계약하는 초단기 일러스트 성장법 20% 할인 쿠폰,270000.0,CARD,216000,54000,216000,0,8,27
