,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
13,13,2413849,PAYMENT,21862,204652,FASTCAMPUS,RED,프로그래밍,The RED : 비즈니스 성공을 위한 Java/Spring 기반 서비스 개발과 MSA 구축 by 이희창,2022-12-31 23:12:29,-,264000,CARD,264000,-,264000,-,12,31
45,45,2413743,PAYMENT,5711,205222,FASTCAMPUS,RED,영상/3D,The RED : 탑 아티스트가 선택한 디렉터 : 권오준이 알려주는 영상 연출의 모든 것,2022-12-31 23:12:54,[WELCOME] The RED 3만원할인,244000,CARD,214000,30000,214000,-,12,31
66,66,2413674,PAYMENT,340,212434,FASTCAMPUS,RED,프로그래밍,The RED : 현실 세상의 TDD 실전편 : 설계 확장성을 위한 코드 개선 방법 by 이규원,2022-12-31 23:12:20,-,300000,CARD,300000,-,300000,-,12,31
84,84,2413615,PAYMENT,54023,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-12-31 23:12:51,[WELCOME] The RED 3만원할인,198000,TRANS,168000,30000,168000,-,12,31
96,96,2413582,PAYMENT,96445,210500,FASTCAMPUS,RED,디자인,The RED : Figma로 끝내는 모바일 UXUI 디자인 프로젝트 Kit,2022-12-31 23:12:51,[WELCOME] The RED 3만원할인,400000,CARD,370000,30000,370000,-,12,31
108,108,2413541,PAYMENT,48320,208854,FASTCAMPUS,RED,업무 생산성,The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,2022-12-31 23:12:19,[WELCOME] The RED 3만원할인,259000,CARD,229000,30000,229000,-,12,31
110,110,2413533,PAYMENT,51193,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-31 23:12:37,[30개글감으로에세이작가되기 출판 수강생 전용]글쓰기 카테고리 the red 수강권,158000,PROMOTION,0,158000,0,-,12,31
126,126,2413470,PAYMENT,94637,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 23:12:50,-,339000,CARD,339000,-,339000,-,12,31
130,130,2413450,PAYMENT,10841,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-12-31 23:12:36,[WELCOME] The RED 3만원할인,198000,CARD,168000,30000,168000,-,12,31
142,142,2413418,PAYMENT,66771,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-12-31 23:12:10,-,201000,CARD,201000,-,201000,-,12,31
163,163,2413358,PAYMENT,83152,208098,FASTCAMPUS,RED,프로그래밍,The RED : 모든 비즈니스를 성공으로 이끄는 Product Management Essential by 김영욱,2022-12-31 23:12:32,[WELCOME] The RED 3만원할인,256000,TRANS,226000,30000,226000,-,12,31
211,211,2413215,PAYMENT,49047,204325,FASTCAMPUS,RED,마케팅,THE RED : 광고인 박웅현과 크리에이티브,2022-12-31 22:12:16,-,192000,TRANS,192000,-,192000,-,12,31
239,239,2413130,PAYMENT,85877,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-12-31 22:12:59,-,201000,CARD,201000,-,201000,-,12,31
258,258,2413071,PAYMENT,51173,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-12-31 22:12:05,-,380000,CARD,380000,-,380000,-,12,31
278,278,2412998,PAYMENT,15781,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-12-31 22:12:03,[WELCOME] The RED 3만원할인,198000,VBANK,168000,30000,168000,-,12,31
295,295,2412944,PAYMENT,32290,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 22:12:41,-,339000,VBANK,339000,-,339000,-,12,31
297,297,2412928,PAYMENT,18881,208854,FASTCAMPUS,RED,업무 생산성,The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,2022-12-31 21:12:16,[WELCOME] The RED 3만원할인,259000,CARD,229000,30000,229000,-,12,31
303,303,2412893,PAYMENT,50125,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 21:12:57,-,150000,POINT,150000,-,150000,-,12,31
326,326,2412778,PAYMENT,81249,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-31 21:12:19,[WELCOME] The RED 3만원할인,158000,CARD,128000,30000,128000,-,12,31
330,330,2412771,PAYMENT,12872,208854,FASTCAMPUS,RED,업무 생산성,The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,2022-12-31 21:12:20,[WELCOME] The RED 3만원할인,259000,CARD,229000,30000,229000,-,12,31
334,334,2412766,PAYMENT,71308,208258,FASTCAMPUS,RED,데이터 사이언스,The RED : Meta 연구원 문경식의 단일 이미지 인식을 통한 Human Pose Estimation,2022-12-31 21:12:35,[WELCOME] The RED 3만원할인,404000,POINT,374000,30000,374000,-,12,31
365,365,2412655,PAYMENT,91359,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-12-31 20:12:29,-,201000,CARD,201000,-,201000,-,12,31
417,417,2412504,PAYMENT,3338,211447,FASTCAMPUS,RED,마케팅,The RED : 서미애의 미스터리 장르 소설 창작법,2022-12-31 20:12:54,[WELCOME] The RED 3만원할인,159000,CARD,129000,30000,129000,-,12,31
440,440,2412407,PAYMENT,95553,211447,FASTCAMPUS,RED,마케팅,The RED : 서미애의 미스터리 장르 소설 창작법,2022-12-31 19:12:32,-,159000,CARD,159000,-,159000,-,12,31
451,451,2412369,PAYMENT,23667,205535,FASTCAMPUS,RED,데이터 사이언스,The RED : 현실 데이터를 활용한 추천시스템 구현 A to Z by 번개장터 CTO 이동주,2022-12-31 19:12:30,[WELCOME] The RED 3만원할인,502000,CARD,472000,30000,472000,-,12,31
460,460,2412333,PAYMENT,98279,210405,FASTCAMPUS,RED,마케팅,The red : 나만의 세계가 담긴 동화 쓰기 BY. 황선미,2022-12-31 19:12:05,[WELCOME] The RED 3만원할인,172000,CARD,142000,30000,142000,-,12,31
504,504,2412174,PAYMENT,24504,210500,FASTCAMPUS,RED,디자인,The RED : Figma로 끝내는 모바일 UXUI 디자인 프로젝트 Kit,2022-12-31 18:12:49,-,400000,CARD,400000,-,400000,-,12,31
506,506,2412166,PAYMENT,78568,208854,FASTCAMPUS,RED,업무 생산성,The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,2022-12-31 18:12:44,-,259000,CARD,259000,-,259000,-,12,31
526,526,2412060,PAYMENT,98002,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 18:12:13,-,150000,POINT,150000,-,150000,-,12,31
527,527,2412057,PAYMENT,34744,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-31 18:12:15,-,158000,POINT,158000,-,158000,-,12,31
532,532,2412042,PAYMENT,59129,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-12-31 18:12:21,[WELCOME] The RED 3만원할인,198000,TRANS,168000,30000,168000,-,12,31
573,573,2411856,PAYMENT,1263,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-12-31 17:12:12,-,380000,TRANS,380000,-,380000,-,12,31
615,615,2411638,PAYMENT,67304,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-12-31 16:12:20,-,201000,VBANK,201000,-,201000,-,12,31
624,624,2411592,PAYMENT,39164,204652,FASTCAMPUS,RED,프로그래밍,The RED : 비즈니스 성공을 위한 Java/Spring 기반 서비스 개발과 MSA 구축 by 이희창,2022-12-31 16:12:12,-,264000,CARD,264000,-,264000,-,12,31
630,630,2411521,PAYMENT,3667,208854,FASTCAMPUS,RED,업무 생산성,The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,2022-12-31 16:12:15,-,259000,CARD,259000,-,259000,-,12,31
644,644,2411464,PAYMENT,42164,209503,FASTCAMPUS,RED,프로그래밍,The RED : 효과적인 비동기처리를 위한 Kotlin Coroutines & Flow 마스터 by 김용욱,2022-12-31 15:12:56,-,229000,CARD,229000,-,229000,-,12,31
645,645,2411461,PAYMENT,20190,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-12-31 15:12:45,[무료수강권] 강의 참고용 발행_강사님,380000,PROMOTION,0,380000,0,-,12,31
671,671,2411347,PAYMENT,24178,211114,FASTCAMPUS,RED,데이터 사이언스,The RED : Snowflake를 활용한 클라우드 데이터 엔지니어링,2022-12-31 14:12:38,-,187000,CARD,187000,-,187000,-,12,31
675,675,2411335,PAYMENT,99782,204824,FASTCAMPUS,RED,데이터 사이언스,The RED : 검색엔진 구축을 위한 Elasticsearch 마스터 클래스 by 정호욱 ,2022-12-31 14:12:38,[WELCOME] The RED 3만원할인,497000,CARD,467000,30000,467000,-,12,31
683,683,2411277,PAYMENT,62867,202878,FASTCAMPUS,RED,업무 생산성,The RED : 최고제품책임자(CPO) 윤희경,2022-12-31 14:12:13,[WELCOME] The RED 3만원할인,244000,CARD,214000,30000,214000,-,12,31
686,686,2411260,PAYMENT,6346,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 14:12:04,[WELCOME] The RED 3만원할인,150000,CARD,120000,30000,120000,-,12,31
719,719,2411087,PAYMENT,91531,203180,FASTCAMPUS,RED,마케팅,The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,2022-12-31 13:12:00,-,212000,CARD,212000,-,212000,-,12,31
