,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
4604,2380385,PAYMENT,32895,211323,FASTCAMPUS,올인원,일러스트,리코더팩토리와 함께하는 나만의 첫 캐릭터와 브랜드,2022-12-23 14:12:51,-,190000,TRANSFER,191000,0,191000,0,12,23
4605,2380384,PAYMENT,70378,206356,FASTCAMPUS,올인원,데이터 사이언스,올인원 패키지 : 세계 3등에게 배우는 실무 밀착 데이터 시각화,2022-12-23 13:12:54,-,184000,TRANSFER,189000,0,189000,0,12,23
14764,2323936,PAYMENT,20748,212784,FASTCAMPUS,올인원,데이터 사이언스,올인원패키지 : 20개 실습으로 익히는 Transformer: 시퀀스 데이터 딥러닝,2022-12-05 16:12:58,-,186000,TRANSFER,189000,0,189000,0,12,5
15581,2321196,PAYMENT,7256,213759,FASTCAMPUS,올인원,데이터 사이언스,올인원 패키지 : AWS 데이터 인프라 구축&엔지니어링 정주행 Kit,2022-12-04 17:12:23,-,438080,CARD,1339200,0,1339200,0,12,4
15642,2320735,PAYMENT,91659,211368,FASTCAMPUS,올인원,프로그래밍,초격차 패키지 : 10개 프로젝트로 완성하는 백엔드 웹개발(Java/Spring),2022-12-04 08:12:22,-,159680,CARD,1060800,0,1060800,0,12,4
15699,2320067,PAYMENT,85489,212720,FASTCAMPUS,올인원,프로그래밍,초격차 패키지 : 백엔드 개발자를 위한 한 번에 끝내는 대용량 데이터 & 트래픽 처리,2022-12-03 16:12:06,-,153280,CARD,1054400,0,1054400,0,12,3
15731,2319913,PAYMENT,39425,207135,FASTCAMPUS,올인원,일러스트,초격차 패키지 : 세상의 모든 연필과 펜 드로잉,2022-12-03 14:12:20,-,139680,POINT,1040800,0,1040800,0,12,3
16892,2310549,PAYMENT,46874,209115,FASTCAMPUS,올인원,마케팅,김동원의 저예산 마케팅을 위한 검색 광고 최적화 -SEO/SEM마스터,2022-11-27 21:11:09,-,164000,TRANSFER,183000,0,183000,0,11,27
25726,2260725,PAYMENT,79263,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-11-09 17:11:42,-,172000,TRANSFER,173000,0,173000,0,11,9
39641,2189542,PAYMENT,66503,206356,FASTCAMPUS,올인원,데이터 사이언스,올인원 패키지 : 세계 3등에게 배우는 실무 밀착 데이터 시각화,2022-10-05 16:10:38,-,186000,TRANSFER,187000,0,187000,0,10,5
45576,2158002,PAYMENT,898,210586,FASTCAMPUS,올인원,프로그래밍,실무 초밀착 리눅스: 클라우드 환경 운영부터 성능분석까지,2022-09-22 14:09:05,-,144000,TRANSFER,145000,0,145000,0,9,22
45577,2158001,PAYMENT,47243,203146,FASTCAMPUS,RED,프로그래밍,The RED : 현실 세상의 TDD by 이규원,2022-09-22 14:09:05,-,231000,TRANSFER,233000,0,233000,0,9,22
60135,2078744,PAYMENT,88330,202521,FASTCAMPUS,올인원,영상/3D,올인원 패키지 : 다빈치리졸브로 배우는 영상 색 보정 A to Z,2022-08-22 09:08:48,-,161000,TRANSFER,350000,0,350000,0,8,22
77435,1984916,PAYMENT,66194,204697,FASTCAMPUS,올인원,부동산/금융,올인원 패키지 : 엑셀로 만드는 부동산 Financial Modeling,2022-07-14 13:07:13,-,223000,TRANSFER,224000,0,224000,0,7,14
87001,1932349,PAYMENT,47215,204207,FASTCAMPUS,올인원,디자인,초격차 패키지 : 확실하게 끝내는 포토샵&일러스트레이터,2022-06-24 16:06:52,-,160000,TRANSFER,178000,0,178000,0,6,24
87792,1926680,PAYMENT,6006,207115,FASTCAMPUS,올인원,프로그래밍,MSA 환경의 효율적인 DevOps를 위한 Istio,2022-06-22 15:06:41,-,187000,TRANSFER,188000,0,188000,0,6,22
87793,1926679,PAYMENT,7194,207458,FASTCAMPUS,올인원,프로그래밍,Prometheus와 Grafana를 이용한 실시간 모니터링 시각화,2022-06-22 15:06:41,-,179000,TRANSFER,180000,0,180000,0,6,22
87794,1926678,PAYMENT,61913,207458,FASTCAMPUS,올인원,프로그래밍,Prometheus와 Grafana를 이용한 실시간 모니터링 시각화,2022-06-22 15:06:41,-,179000,TRANSFER,180000,0,180000,0,6,22
87795,1926677,PAYMENT,65659,208963,FASTCAMPUS,올인원,프로그래밍,초격차 패키지: Kubernetes와 Docker로 한 번에 끝내는 컨테이너 기반 MSA,2022-06-22 15:06:41,-,317000,TRANSFER,318000,0,318000,0,6,22
87796,1926676,PAYMENT,76442,208963,FASTCAMPUS,올인원,프로그래밍,초격차 패키지: Kubernetes와 Docker로 한 번에 끝내는 컨테이너 기반 MSA,2022-06-22 15:06:41,-,317000,TRANSFER,318000,0,318000,0,6,22
87797,1926675,PAYMENT,30692,208963,FASTCAMPUS,올인원,프로그래밍,초격차 패키지: Kubernetes와 Docker로 한 번에 끝내는 컨테이너 기반 MSA,2022-06-22 15:06:41,-,317000,TRANSFER,318000,0,318000,0,6,22
87798,1926674,PAYMENT,29843,208963,FASTCAMPUS,올인원,프로그래밍,초격차 패키지: Kubernetes와 Docker로 한 번에 끝내는 컨테이너 기반 MSA,2022-06-22 15:06:41,-,317000,TRANSFER,318000,0,318000,0,6,22
90421,1909878,PAYMENT,21459,208963,FASTCAMPUS,올인원,프로그래밍,초격차 패키지: Kubernetes와 Docker로 한 번에 끝내는 컨테이너 기반 MSA,2022-06-14 12:06:38,-,317000,TRANSFER,318000,0,318000,0,6,14
96694,1876687,PAYMENT,86365,210773,FASTCAMPUS,올인원,프로그래밍,"초격차 패키지 : 개발자 취업 합격 패스 With 코딩테스트, 기술면접",2022-05-30 16:05:15,-,220079,CARD,240000,0,240000,0,5,30
115723,1763458,PAYMENT,90216,207974,FASTCAMPUS,올인원,투자/재테크,초격차 패키지 : 한 번에 끝내는 주식 투자의 모든 것,2022-03-31 23:03:31,-,345000,CARD,372000,0,372000,0,3,31
115762,1763328,PAYMENT,41108,207974,FASTCAMPUS,올인원,투자/재테크,초격차 패키지 : 한 번에 끝내는 주식 투자의 모든 것,2022-03-31 23:03:31,-,345000,CARD,372000,0,372000,0,3,31
117090,1757882,PAYMENT,76549,207974,FASTCAMPUS,올인원,투자/재테크,초격차 패키지 : 한 번에 끝내는 주식 투자의 모든 것,2022-03-29 22:03:40,-,345000,POINT,372000,0,372000,0,3,29
117967,1754137,PAYMENT,90105,207974,FASTCAMPUS,올인원,투자/재테크,초격차 패키지 : 한 번에 끝내는 주식 투자의 모든 것,2022-03-27 23:03:59,-,345000,CARD,372000,0,372000,0,3,27
118097,1753464,PAYMENT,81458,207974,FASTCAMPUS,올인원,투자/재테크,초격차 패키지 : 한 번에 끝내는 주식 투자의 모든 것,2022-03-27 15:03:09,-,345000,CARD,372000,0,372000,0,3,27
119399,1744122,PAYMENT,38525,207974,FASTCAMPUS,올인원,투자/재테크,초격차 패키지 : 한 번에 끝내는 주식 투자의 모든 것,2022-03-22 19:03:01,-,345000,CARD,372000,0,372000,0,3,22
120468,1737662,PAYMENT,69682,208856,FASTCAMPUS,올인원,프로그래밍,초격차 패키지 : 30개 프로젝트로 배우는 프론트엔드 with React,2022-03-18 15:03:08,-,220000,TRANSFER,439000,0,439000,0,3,18
